State_index,Jurisdiction,Time,Type,Name,Formatted_Text,Amount (million dollars),Description,Link,Source,Start
12,Massachusetts,Pre-pandemic,Goal,"The stated goal for the commonwealth’s Last Mile program is to address unserved and underserved municipalities and “support the development and construction of sustainable projects for interested towns that reach at least 96% of a community’s residents and provide access to broadband speeds of 25/3 mbps, as currently defined by the Federal Communications Commission (FCC).” 
The commonwealth addresses that goal through two means, through direct grants to municipalities via the Last Mile Infrastructure Grant Program (managed by the Executive Office of Housing & Economic Development) and through requests for proposals or notices of funding 
available which solicit proposals for private providers to close gaps in unserved and underserved municipalities, procurements managed by the Massachusetts Broadband Institute (MBI). 
While the MBI “remains focused on the principles announced in its May 10, 2016 Last Mile Broadband Implementation Framework,” under a program launched in October 2017 called the “Flexible Grant Program” or “FGP,” the MBI will consider variations to the 2016 framework with the consent of a participating Town.
“For broadband solutions delivered by private providers, the FGP provides MBI with the flexibility to consider alternative solutions based on a range of program criteria that may include: 
“Modifications in Coverage Requirement. While MBI remains committed to its previously stated goal of achieving at least 96% broadband coverage within each Town, MBI is willing to entertain proposals to fund Broadband Projects that will result in less than 96% coverage, if requested to do so by the Town. In these cases, MBI will work with the Provider and the Town to determine the feasibility of implementing a phased approach to achieving 96% coverage over time. … 
“Modifications in Sources of Project Funding: MBI will entertain project financing arrangements that incorporate the investment of municipal funds, if requested to do so by the Town.”","Pre-pandemic Goal: The stated goal for the commonwealth’s Last Mile program is to address unserved and underserved municipalities and “support the development and construction of sustainable projects for interested towns that reach at least 96% of a community’s residents and provide access to broadband speeds of 25/3 mbps, as currently defined by the Federal Communications Commission (FCC).” 
The commonwealth addresses that goal through two means, through direct grants to municipalities via the Last Mile Infrastructure Grant Program (managed by the Executive Office of Housing & Economic Development) and through requests for proposals or notices of funding 
available which solicit proposals for private providers to close gaps in unserved and underserved municipalities, procurements managed by the Massachusetts Broadband Institute (MBI). 
While the MBI “remains focused on the principles announced in its May 10, 2016 Last Mile Broadband Implementation Framework,” under a program launched in October 2017 called the “Flexible Grant Program” or “FGP,” the MBI will consider variations to the 2016 framework with the consent of a participating Town.
“For broadband solutions delivered by private providers, the FGP provides MBI with the flexibility to consider alternative solutions based on a range of program criteria that may include: 
“Modifications in Coverage Requirement. While MBI remains committed to its previously stated goal of achieving at least 96% broadband coverage within each Town, MBI is willing to entertain proposals to fund Broadband Projects that will result in less than 96% coverage, if requested to do so by the Town. In these cases, MBI will work with the Provider and the Town to determine the feasibility of implementing a phased approach to achieving 96% coverage over time. … 
“Modifications in Sources of Project Funding: MBI will entertain project financing arrangements that incorporate the investment of municipal funds, if requested to do so by the Town.”",,,,PEW_July2019,0
13,Massachusetts,Pre-pandemic,Map,"Massachusetts Broadband Institute, “Map Gallery”","Pre-pandemic Map: Massachusetts Broadband Institute, “Map Gallery”",,,,PEW_July2019,0
14,Massachusetts,Pre-pandemic,Fund,Broadband Incentive Fund,Pre-pandemic Fund: Broadband Incentive Fund,,,,PEW_July2019,0
15,Massachusetts,Pre-pandemic,Fund,Last Mile Infrastructure Grant,Pre-pandemic Fund: Last Mile Infrastructure Grant,,,,PEW_July2019,0
,Massachusetts,Pandemic,AGENCY 1,Massachusetts Technology Collaborative,Pandemic AGENCY 1: Massachusetts Technology Collaborative,,,http://masstech.org/,PEW_May2021,0
,Massachusetts,Pandemic,AGENCY 2,Executive Office of Housing and Economic Development,Pandemic AGENCY 2: Executive Office of Housing and Economic Development,,,https://www.mass.gov/service-details/last-mile-infrastructure-grant,PEW_May2021,0
,Massachusetts,Pandemic,FUND 1,Last Mile Program,Pandemic FUND 1: Last Mile Program,,,https://broadband.masstech.org/last-mile-programs/program-unserved-towns,PEW_May2021,0
,Massachusetts,Pandemic,FUND 2,Last Mile Infrastructure Grant,Pandemic FUND 2: Last Mile Infrastructure Grant,,,https://www.mass.gov/service-details/last-mile-infrastructure-grant,PEW_May2021,0
,Massachusetts,Pandemic,FUND 3,Broadband Extension Program,Pandemic FUND 3: Broadband Extension Program,,,https://broadband.masstech.org/last-mile-programs/program-partially-served-cable-towns,PEW_May2021,0
,Massachusetts,Pandemic,GOAL 1,https://broadband.masstech.org/building-networks/last-mile/program-unserved-towns/last-mile-program-policy,Pandemic GOAL 1: https://broadband.masstech.org/building-networks/last-mile/program-unserved-towns/last-mile-program-policy,,,https://broadband.masstech.org/building-networks/last-mile/program-unserved-towns/last-mile-program-policy,PEW_May2021,0
,Massachusetts,Pandemic,MAP 1,Massachusetts Broadband Institute Map Gallery,Pandemic MAP 1: Massachusetts Broadband Institute Map Gallery,,,https://broadband.masstech.org/news-and-resources/map-gallery,PEW_May2021,0
,Massachusetts,Pandemic,OFFICE 1,Massachusetts Broadband Institute,Pandemic OFFICE 1: Massachusetts Broadband Institute,,,https://broadband.masstech.org/,PEW_May2021,0
,Massachusetts,Pandemic,TASK FORCE 1,Massachusetts Broadband Institute Board of Directors,Pandemic TASK FORCE 1: Massachusetts Broadband Institute Board of Directors,,,https://broadband.masstech.org/meet-masstech/our-team/board,PEW_May2021,0
-99,Michigan,Dup,AGENCY 1,Michigan Public Service Commission (in partnership with Connected Nation),Dup AGENCY 1: Michigan Public Service Commission (in partnership with Connected Nation),,,"https://www.michigan.gov/mpsc/0,9535,7-395-93308_93325_93425_94029_94033---,00.html",PEW_May2021,0
-99,Michigan,Dup,AGENCY 2,"Department of Technology, Management, and Budget","Dup AGENCY 2: Department of Technology, Management, and Budget",,,"https://www.michigan.gov/dtmb/0,5552,7-358-82547_56345_91154---,00.html",PEW_May2021,0
-99,Michigan,Dup,FUND 1,Connecting Michigan Communities Grant,Dup FUND 1: Connecting Michigan Communities Grant,,,"https://www.michigan.gov/dtmb/0,5552,7-358-82547_56345_91154_102790_102811---,00.html",PEW_May2021,0
-99,Michigan,Dup,GOAL 1,https://connectednation.org/wp-content/uploads/sites/13/2019/01/Final-Roadmap-8-8-18.pdf,Dup GOAL 1: https://connectednation.org/wp-content/uploads/sites/13/2019/01/Final-Roadmap-8-8-18.pdf,,,https://connectednation.org/wp-content/uploads/sites/13/2019/01/Final-Roadmap-8-8-18.pdf,PEW_May2021,0
-99,Michigan,Dup,PLAN 1,Michigan Broadband Roadmap,Dup PLAN 1: Michigan Broadband Roadmap,,,https://connectednation.org/wp-content/uploads/sites/13/2019/01/Final-Roadmap-8-8-18.pdf,PEW_May2021,0
1,Michigan,Pre-pandemic,Agency,Michigan Public Service Commission (in partnership with Connected Nation),Pre-pandemic Agency: Michigan Public Service Commission (in partnership with Connected Nation),,,,PEW_July2019,0
2,Michigan,Pre-pandemic,Agency,"Department of Technology, Management, and Budget","Pre-pandemic Agency: Department of Technology, Management, and Budget",,,,PEW_July2019,0
3,Michigan,Pre-pandemic,Task Force,Consortium of Advanced Networks,Pre-pandemic Task Force: Consortium of Advanced Networks,,,,PEW_July2019,0
4,Michigan,Pre-pandemic,Plan,“Michigan Broadband Roadmap” (2018),Pre-pandemic Plan: “Michigan Broadband Roadmap” (2018),,,,PEW_July2019,0
5,Michigan,Pre-pandemic,Goal,"Accomplish speeds of 1 gigabit per second to all residents and businesses by 2026; achieve fixed, or comparable, affordable broadband service to all residents and businesses at a speed of at least 25 Megabits per second download and 3 Mbps upload by 2022; priority and state funding will be focused on areas currently unserved by broadband at 10 Mbps download and 1 Mbps upload; and attain fixed, or comparable, household broadband adoption of 95% by 2024.","Pre-pandemic Goal: Accomplish speeds of 1 gigabit per second to all residents and businesses by 2026; achieve fixed, or comparable, affordable broadband service to all residents and businesses at a speed of at least 25 Megabits per second download and 3 Mbps upload by 2022; priority and state funding will be focused on areas currently unserved by broadband at 10 Mbps download and 1 Mbps upload; and attain fixed, or comparable, household broadband adoption of 95% by 2024.",,,,PEW_July2019,0
6,Michigan,Pre-pandemic,Fund,Connecting Michigan Communities Grant,Pre-pandemic Fund: Connecting Michigan Communities Grant,,,,PEW_July2019,0
7,Michigan,Pandemic,MAP 1,Interactive Broadband Map,Pandemic MAP 1: Interactive Broadband Map,,,https://gis.connectednation.org/portal/apps/webappviewer/index.html?id=98c4d702d00040c9be673787bfeb8162,PEW_May2021,0
8,Michigan,Pandemic,TASK FORCE 1,Connecting Michigan Taskforce,Pandemic TASK FORCE 1: Connecting Michigan Taskforce,,,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90640-542115--,00.html",PEW_May2021,0
1,Minnesota,Pre-pandemic,Office,Office of Broadband Development,Pre-pandemic Office: Office of Broadband Development,,,,PEW_July2019,0
2,Minnesota,Pre-pandemic,Agency,Minnesota Employment and Economic Development,Pre-pandemic Agency: Minnesota Employment and Economic Development,,,,PEW_July2019,0
3,Minnesota,Pre-pandemic,Task Force,The Governor’s Task Force on Broadband,Pre-pandemic Task Force: The Governor’s Task Force on Broadband,,,,PEW_July2019,0
4,Minnesota,Pre-pandemic,Goal,"It is a state goal that (1) no later than 2022, all Minnesota businesses and homes have access to high-speed broadband that provides minimum download speeds of at least 25 megabits per second and minimum upload speeds of at least three megabits per second; and (2) no later than 2026, all Minnesota businesses and homes have access to at least one provider of broadband with download speeds of at least 100 megabits per second and upload speeds of at least 20 megabits per second. It is a goal of the state that by 2022 and thereafter, the state be in: the top five states in the nation for broadband speed universally accessible to residents and businesses, the top five states for broadband access, the top 15 when compared to countries globally for broadband penetration.","Pre-pandemic Goal: It is a state goal that (1) no later than 2022, all Minnesota businesses and homes have access to high-speed broadband that provides minimum download speeds of at least 25 megabits per second and minimum upload speeds of at least three megabits per second; and (2) no later than 2026, all Minnesota businesses and homes have access to at least one provider of broadband with download speeds of at least 100 megabits per second and upload speeds of at least 20 megabits per second. It is a goal of the state that by 2022 and thereafter, the state be in: the top five states in the nation for broadband speed universally accessible to residents and businesses, the top five states for broadband access, the top 15 when compared to countries globally for broadband penetration.",,,,PEW_July2019,0
5,Minnesota,Pre-pandemic,Fund,Border-to-Border Broadband Development Grant Program,Pre-pandemic Fund: Border-to-Border Broadband Development Grant Program,,,,PEW_July2019,0
,Minnesota,Pandemic,AGENCY 1,Minnesota Employment and Economic Development,Pandemic AGENCY 1: Minnesota Employment and Economic Development,,,https://mn.gov/deed/,PEW_May2021,0
,Minnesota,Pandemic,FUND 1,Border-to-Border Broadband Development Grant Program ,Pandemic FUND 1: Border-to-Border Broadband Development Grant Program ,,,https://mn.gov/deed/programs-services/broadband/grant-program/,PEW_May2021,0
,Minnesota,Pandemic,GOAL 1,https://www.revisor.mn.gov/statutes/2018/cite/237.012,Pandemic GOAL 1: https://www.revisor.mn.gov/statutes/2018/cite/237.012,,,https://www.revisor.mn.gov/statutes/2018/cite/237.012,PEW_May2021,0
,Minnesota,Pandemic,MAP 1,Minnesota Broadband Map ,Pandemic MAP 1: Minnesota Broadband Map ,,,https://gis.connectednation.org/portal/apps/webappviewer/index.html?id=a2d243ccf7e547eba2ec0d5c80c80917,PEW_May2021,0
,Minnesota,Pandemic,OFFICE 1,Office of Broadband Development,Pandemic OFFICE 1: Office of Broadband Development,,,https://mn.gov/deed/programs-services/broadband/,PEW_May2021,0
,Minnesota,Pandemic,PLAN 1,Minnesota Broadband Infrastructure Plan,Pandemic PLAN 1: Minnesota Broadband Infrastructure Plan,,,https://mn.gov/deed/assets/state-broadband-plan_tcm1045-380006.pdf,PEW_May2021,0
,Minnesota,Pandemic,TASK FORCE 1,The Governor's Task Force on Broadband,Pandemic TASK FORCE 1: The Governor's Task Force on Broadband,,,https://mn.gov/deed/programs-services/broadband/task-force/,PEW_May2021,0
1,Mississippi,Pre-pandemic,,Mississippi did not have any pre-pandemic initiatives.,Pre-pandemic : Mississippi did not have any pre-pandemic initiatives.,,,,PEW_July2019,0
2,Mississippi,Pandemic,Fund,Allocating $275 million in federal funding toward broadband – $65 million to state’s electric co-ops for rural broadband expansion. Program matches federal funding with broadband expansion costs borne by the utilities. Pandemic Response Broadband Availability Act set up a $50 million special fund in state treasury to grants for school districts in compliance with CARES Act. $150 million is allocated to school districts to purchase laptops for students and  boost distanced learning capabilities.,Pandemic Fund: Allocating $275 million in federal funding toward broadband – $65 million to state’s electric co-ops for rural broadband expansion. Program matches federal funding with broadband expansion costs borne by the utilities. Pandemic Response Broadband Availability Act set up a $50 million special fund in state treasury to grants for school districts in compliance with CARES Act. $150 million is allocated to school districts to purchase laptops for students and  boost distanced learning capabilities.,275,Allocating $275 million in federal funding toward broadband – $65 million to state’s electric co-ops for rural broadband expansion. Program matches federal funding with broadband expansion costs borne by the utilities. Pandemic Response Broadband Availability Act set up a $50 million special fund in state treasury to grants for school districts in compliance with CARES Act. $150 million is allocated to school districts to purchase laptops for students and  boost distanced learning capabilities.,https://www.nga.org/center/publications/expand-affordable-broadband/,National Governor's Association,0
1,Missouri,Pre-pandemic,Office,Broadband Development Office,Pre-pandemic Office: Broadband Development Office,,,,PEW_July2019,0
2,Missouri,Pre-pandemic,Agency,Department of Economic Development,Pre-pandemic Agency: Department of Economic Development,,,,PEW_July2019,0
3,Missouri,Pre-pandemic,Task Force,Broadband Leadership Team,Pre-pandemic Task Force: Broadband Leadership Team,,,,PEW_July2019,0
4,Missouri,Pre-pandemic,Fund,Rural Development Fund,Pre-pandemic Fund: Rural Development Fund,,,,PEW_July2019,0
5,Missouri,Pandemic,Fund,"The expansion includes several new initiatives.
Emergency Broadband Investment: This initiative allocates $20 million to establish a reimbursement program for broadband providers. It will assist providers with construction costs for new broadband expansion to households with students or vulnerable populations. By November of 2020, this program plans to make more than 10,000 new connections in unserved and underserved areas of the state.

Telehealth: $5.25 million will support connectivity for telehealth services for vulnerable populations. In partnership with Missouri Telehealth Network, located with the University of Missouri – Columbia’s School of Medicine, more than 12,500 hotspots will be secured for use by the Federally Qualified Health Centers and the Community Mental Health Centers.

Libraries: The Office of the State Librarian within the Secretary of State’s office will deploy $2.5 million to implement and administer a grant program for Missouri’s libraries to access resources for hotspots and Wi-Fi enabled devices to support telehealth and students of higher education.

K-12 Distance Learning: The Missouri Department of Elementary and Secondary Education will allocate $10 million of the Coronavirus Relief Fund to Local Education Agencies (LEAs) to seek reimbursement for eligible costs to increase student connectivity.

Higher Education Distance Learning: The Department of Higher Education and Workforce Development will allocate $10 million of the Coronavirus Relief Fund to public institutions to upgrade the campus broadband networks, offer students access to Wi-Fi enabled devices or hotspots, and enhance learning management systems. 

Broadband Technical Assistance Request: The Missouri Association of Councils of Government (MACOG) and DED have partnered together to apply for nearly $615,000 in grant support from the Economic Development Administration (EDA) to support a pilot project for Broadband Modeling and Engineering Feasibility Plans for up to 24 counties or 8 regional clusters.","Pandemic Fund: The expansion includes several new initiatives.
Emergency Broadband Investment: This initiative allocates $20 million to establish a reimbursement program for broadband providers. It will assist providers with construction costs for new broadband expansion to households with students or vulnerable populations. By November of 2020, this program plans to make more than 10,000 new connections in unserved and underserved areas of the state.

Telehealth: $5.25 million will support connectivity for telehealth services for vulnerable populations. In partnership with Missouri Telehealth Network, located with the University of Missouri – Columbia’s School of Medicine, more than 12,500 hotspots will be secured for use by the Federally Qualified Health Centers and the Community Mental Health Centers.

Libraries: The Office of the State Librarian within the Secretary of State’s office will deploy $2.5 million to implement and administer a grant program for Missouri’s libraries to access resources for hotspots and Wi-Fi enabled devices to support telehealth and students of higher education.

K-12 Distance Learning: The Missouri Department of Elementary and Secondary Education will allocate $10 million of the Coronavirus Relief Fund to Local Education Agencies (LEAs) to seek reimbursement for eligible costs to increase student connectivity.

Higher Education Distance Learning: The Department of Higher Education and Workforce Development will allocate $10 million of the Coronavirus Relief Fund to public institutions to upgrade the campus broadband networks, offer students access to Wi-Fi enabled devices or hotspots, and enhance learning management systems. 

Broadband Technical Assistance Request: The Missouri Association of Councils of Government (MACOG) and DED have partnered together to apply for nearly $615,000 in grant support from the Economic Development Administration (EDA) to support a pilot project for Broadband Modeling and Engineering Feasibility Plans for up to 24 counties or 8 regional clusters.",50,"The expansion includes several new initiatives.
Emergency Broadband Investment: This initiative allocates $20 million to establish a reimbursement program for broadband providers. It will assist providers with construction costs for new broadband expansion to households with students or vulnerable populations. By November of 2020, this program plans to make more than 10,000 new connections in unserved and underserved areas of the state.

Telehealth: $5.25 million will support connectivity for telehealth services for vulnerable populations. In partnership with Missouri Telehealth Network, located with the University of Missouri – Columbia’s School of Medicine, more than 12,500 hotspots will be secured for use by the Federally Qualified Health Centers and the Community Mental Health Centers.

Libraries: The Office of the State Librarian within the Secretary of State’s office will deploy $2.5 million to implement and administer a grant program for Missouri’s libraries to access resources for hotspots and Wi-Fi enabled devices to support telehealth and students of higher education.

K-12 Distance Learning: The Missouri Department of Elementary and Secondary Education will allocate $10 million of the Coronavirus Relief Fund to Local Education Agencies (LEAs) to seek reimbursement for eligible costs to increase student connectivity.

Higher Education Distance Learning: The Department of Higher Education and Workforce Development will allocate $10 million of the Coronavirus Relief Fund to public institutions to upgrade the campus broadband networks, offer students access to Wi-Fi enabled devices or hotspots, and enhance learning management systems. 

Broadband Technical Assistance Request: The Missouri Association of Councils of Government (MACOG) and DED have partnered together to apply for nearly $615,000 in grant support from the Economic Development Administration (EDA) to support a pilot project for Broadband Modeling and Engineering Feasibility Plans for up to 24 counties or 8 regional clusters.",https://ded.mo.gov/content/governor-parson-directs-nearly-50-million-relief-funds-aid-broadband-expansion-and-covid-19,,0
6,Missouri,Pandemic,Fund,"$10 million for remote K-12 learning – reimburses school districts for increasing student connectivity and campus Wi-Fi networks. $10 million for higher ed distanced learning needs. $5.25 million for telehealth, with plans to install more than 12,500 hotspots. $20 million to reimburse broadband providers. $2.5 million for library resources that will support hotspots and Wi-Fi access for telehealth and higher ed resources. Additional funding available for broadband technical assistance requests.","Pandemic Fund: $10 million for remote K-12 learning – reimburses school districts for increasing student connectivity and campus Wi-Fi networks. $10 million for higher ed distanced learning needs. $5.25 million for telehealth, with plans to install more than 12,500 hotspots. $20 million to reimburse broadband providers. $2.5 million for library resources that will support hotspots and Wi-Fi access for telehealth and higher ed resources. Additional funding available for broadband technical assistance requests.",47.75,"$10 million for remote K-12 learning – reimburses school districts for increasing student connectivity and campus Wi-Fi networks. $10 million for higher ed distanced learning needs. $5.25 million for telehealth, with plans to install more than 12,500 hotspots. $20 million to reimburse broadband providers. $2.5 million for library resources that will support hotspots and Wi-Fi access for telehealth and higher ed resources. Additional funding available for broadband technical assistance requests.",https://www.nga.org/center/publications/expand-affordable-broadband/,National Governor's Association,0
,Missouri,Pandemic,AGENCY 1,Department of Economic Development,Pandemic AGENCY 1: Department of Economic Development,,,https://ded.mo.gov/,PEW_May2021,0
,Missouri,Pandemic,FUND 1,Missouri Broadband Grant Program ,Pandemic FUND 1: Missouri Broadband Grant Program ,,,https://ded.mo.gov/content/missouri-broadband-grant-program,PEW_May2021,0
,Missouri,Pandemic,FUND 2,Missouri Connect & Learn ,Pandemic FUND 2: Missouri Connect & Learn ,,,https://dese.mo.gov/communications/news-releases/missouri-schools-improve-high-speed-internet-access-through-connect,PEW_May2021,0
,Missouri,Pandemic,GOAL 1,https://ded.mo.gov/sites/default/files/Missouri%20Broadband%20Plan%20(2).pdf,Pandemic GOAL 1: https://ded.mo.gov/sites/default/files/Missouri%20Broadband%20Plan%20(2).pdf,,,https://ded.mo.gov/sites/default/files/Missouri%20Broadband%20Plan%20(2).pdf,PEW_May2021,0
,Missouri,Pandemic,OFFICE 1,Broadband Development Office,Pandemic OFFICE 1: Broadband Development Office,,,https://ded.mo.gov/content/broadband-development,PEW_May2021,0
,Missouri,Pandemic,PLAN 1,Missouri Broadband Plan,Pandemic PLAN 1: Missouri Broadband Plan,,,https://ded.mo.gov/sites/default/files/Missouri%20Broadband%20Plan%20(2).pdf,PEW_May2021,0
1,Montana,Pre-pandemic,Agency,Department of Commerce (Broadband for Montana Schools),Pre-pandemic Agency: Department of Commerce (Broadband for Montana Schools),,,,PEW_July2019,0
,Montana,Pandemic,AGENCY 1,Department of Commerce,Pandemic AGENCY 1: Department of Commerce,,,https://commerce.mt.gov/,PEW_May2021,0
,Montana,Pandemic,FUND 1,Montana Broadband Infrastructure Account (federal funding) ,Pandemic FUND 1: Montana Broadband Infrastructure Account (federal funding) ,,,https://leg.mt.gov/bills/2021/billpdf/SB0297.pdf,PEW_May2021,0
,Montana,Pandemic,FUND 2,Broadband Infrastructure Deployment Program ,Pandemic FUND 2: Broadband Infrastructure Deployment Program ,,,https://leg.mt.gov/bills/2021/billpdf/SB0297.pdf,PEW_May2021,0
,Montana,Pandemic,MAP 1,Montana Broadband Maps,Pandemic MAP 1: Montana Broadband Maps,,,https://mslservices.mt.gov/legislative_snapshot/Broadband/Default.aspx#Maps,PEW_May2021,0
,Montana,Pandemic,PLAN 1,Interconnectivity and Telecommunications Key Industry Network Report and Recommendations,Pandemic PLAN 1: Interconnectivity and Telecommunications Key Industry Network Report and Recommendations,,,https://mainstreetmontanaproject.com/wp-content/uploads/2019/03/Attachment-7_-Interconnectivity-Telecommunications.pdf,PEW_May2021,0
1,Nebraska,Pre-pandemic,Agency,Nebraska Information Technology Commission,Pre-pandemic Agency: Nebraska Information Technology Commission,,,,PEW_July2019,0
2,Nebraska,Pre-pandemic,Agency,Public Service Commission,Pre-pandemic Agency: Public Service Commission,,,,PEW_July2019,0
3,Nebraska,Pre-pandemic,Task Force,Rural Broadband Task Force,Pre-pandemic Task Force: Rural Broadband Task Force,,,,PEW_July2019,0
4,Nebraska,Pre-pandemic,Goal,“It is the intent of the Legislature that broadband telecommunications service in rural areas of the state should be comparable in download and upload speed and price to urban areas in the state where possible and that state resources should be utilized to ensure that the rural residents of the state should not be penalized simply because of their rural residence. It is further the intent of the Legislature that the residents of this state should have access to broadband telecommunications service at a minimum download speed of twenty-five megabits per second and a minimum upload speed of three megabits per second.”,Pre-pandemic Goal: “It is the intent of the Legislature that broadband telecommunications service in rural areas of the state should be comparable in download and upload speed and price to urban areas in the state where possible and that state resources should be utilized to ensure that the rural residents of the state should not be penalized simply because of their rural residence. It is further the intent of the Legislature that the residents of this state should have access to broadband telecommunications service at a minimum download speed of twenty-five megabits per second and a minimum upload speed of three megabits per second.”,,,,PEW_July2019,0
5,Nebraska,Pre-pandemic,Fund,Nebraska Internet Enhancement Fund,Pre-pandemic Fund: Nebraska Internet Enhancement Fund,,,,PEW_July2019,0
,Nebraska,Pandemic,AGENCY 1,Nebraska Information Technology Commission,Pandemic AGENCY 1: Nebraska Information Technology Commission,,,https://nitc.nebraska.gov,PEW_May2021,0
,Nebraska,Pandemic,AGENCY 2,Public Service Commission,Pandemic AGENCY 2: Public Service Commission,,,http://www.psc.nebraska.gov/index.html,PEW_May2021,0
,Nebraska,Pandemic,FUND 1,Nebraska Internet Enhancement Fund,Pandemic FUND 1: Nebraska Internet Enhancement Fund,,,https://psc.nebraska.gov/sites/psc.nebraska.gov/files/doc/NIEF_App_Guidelines.pdf,PEW_May2021,0
,Nebraska,Pandemic,FUND 2,Nebraska Universal Service Fund,Pandemic FUND 2: Nebraska Universal Service Fund,,,https://psc.nebraska.gov/telecommunications/nebraska-universal-service-fund,PEW_May2021,0
,Nebraska,Pandemic,FUND 3,Rural Broadband Task Force Fund ,Pandemic FUND 3: Rural Broadband Task Force Fund ,,,https://nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB384.pdf  ,PEW_May2021,0
,Nebraska,Pandemic,FUND 4,Broadband Bridge Program,Pandemic FUND 4: Broadband Bridge Program,,,https://nebraskalegislature.gov/FloorDocs/107/PDF/Final/LB388.pdf,PEW_May2021,0
,Nebraska,Pandemic,GOAL 1,https://nebraskalegislature.gov/FloorDocs/105/PDF/Slip/LB994.pdf,Pandemic GOAL 1: https://nebraskalegislature.gov/FloorDocs/105/PDF/Slip/LB994.pdf,,,https://nebraskalegislature.gov/FloorDocs/105/PDF/Slip/LB994.pdf,PEW_May2021,0
,Nebraska,Pandemic,MAP 1,Nebraska Broadband Mapping Project,Pandemic MAP 1: Nebraska Broadband Mapping Project,,,https://gis.ne.gov/portal/apps/webappviewer/index.html?id=ba42a254d4f14f4783a14193c12a443e  ,PEW_May2021,0
,Nebraska,Pandemic,PLAN 1,Rural Broadband Task Force Report,Pandemic PLAN 1: Rural Broadband Task Force Report,,,https://ruralbroadband.nebraska.gov/reports/2019/RBTF2019Reportfinal.pdf,PEW_May2021,0
,Nebraska,Pandemic,TASK FORCE 1,Rural Broadband Task Force,Pandemic TASK FORCE 1: Rural Broadband Task Force,,,https://ruralbroadband.nebraska.gov/,PEW_May2021,0
,Nebraska,Pandemic,TASK FORCE 2,The Nebraska Broadband Initiative ,Pandemic TASK FORCE 2: The Nebraska Broadband Initiative ,,,http://broadband.nebraska.gov/about-nebraska-broadband,PEW_May2021,0
1,Nevada,Pre-pandemic,Agency,"Governor’s Office of Science, Innovation, and Technology","Pre-pandemic Agency: Governor’s Office of Science, Innovation, and Technology",,,,PEW_July2019,0
2,Nevada,Pre-pandemic,Agency,Department of Transportation,Pre-pandemic Agency: Department of Transportation,,,,PEW_July2019,0
3,Nevada,Pre-pandemic,Task Force,Telecommunications Advisory Council,Pre-pandemic Task Force: Telecommunications Advisory Council,,,,PEW_July2019,0
4,Nevada,Pre-pandemic,Plan,“Nevada Broadband Task Force Annual Report to the Governor” (2016),Pre-pandemic Plan: “Nevada Broadband Task Force Annual Report to the Governor” (2016),,,,PEW_July2019,0
5,Nevada,Pre-pandemic,Fund,Broadband Infrastructure Development Grant,Pre-pandemic Fund: Broadband Infrastructure Development Grant,,,,PEW_July2019,0
6,Nevada,Pandemic,Fund,"$50 million for K-12 schools to create alternative intensive instruction. This program targets students “likely to develop the largest deficits in education attainment” from a lack of in-school learning. Students include English as Second Language students, low-income students, those with low test scores or at low performing schools, among others.","Pandemic Fund: $50 million for K-12 schools to create alternative intensive instruction. This program targets students “likely to develop the largest deficits in education attainment” from a lack of in-school learning. Students include English as Second Language students, low-income students, those with low test scores or at low performing schools, among others.",50,"$50 million for K-12 schools to create alternative intensive instruction. This program targets students “likely to develop the largest deficits in education attainment” from a lack of in-school learning. Students include English as Second Language students, low-income students, those with low test scores or at low performing schools, among others.",https://www.nga.org/center/publications/expand-affordable-broadband/,National Governor's Association,0
,Nevada,Pandemic,AGENCY 1,"Governor's Office of Science, Innovation, and Technology","Pandemic AGENCY 1: Governor's Office of Science, Innovation, and Technology",,,http://osit.nv.gov/Broadband/Broadband/,PEW_May2021,0
,Nevada,Pandemic,AGENCY 2,Department of Transportation,Pandemic AGENCY 2: Department of Transportation,,,https://www.nevadadot.com/doing-business/right-of-way/permits/telecommunications-permit-installations,PEW_May2021,0
,Nevada,Pandemic,FUND 1,Broadband Infrastructure Development Grant,Pandemic FUND 1: Broadband Infrastructure Development Grant,,,http://osit.nv.gov/Grants/Broadband_Infrastructure_Development_Grant/,PEW_May2021,0
,Nevada,Pandemic,FUND 2,the Nevada Connect Kids Initiative,Pandemic FUND 2: the Nevada Connect Kids Initiative,,,https://osit.nv.gov/Broadband/NV_Connect_Kids_Initiative/,PEW_May2021,0
,Nevada,Pandemic,PLAN 1,The Nevada Broadband Task Force Report,Pandemic PLAN 1: The Nevada Broadband Task Force Report,,,https://osit.nv.gov/uploadedFiles/ositnvgov/Content/Broadband/2016%20Broadband%20Task%20Force%20Report%20to%20the%20Governor%206-30-2016%20%5bFINAL%5d.pdf,PEW_May2021,0
,Nevada,Pandemic,TASK FORCE 1,Telecommunications Advisory Council,Pandemic TASK FORCE 1: Telecommunications Advisory Council,,,http://osit.nv.gov/Broadband/Telecommunications_Advisory_Council/ ,PEW_May2021,0
1,New Hampshire,Pre-pandemic,Agency,Division of Economic Development,Pre-pandemic Agency: Division of Economic Development,,,,PEW_July2019,0
